Oversikt Kommuner,,,,,
Kilde: SSB population data 2023-2024 | Regulatory baseline: EASA UAS Regulation (EU) 2019/947 + Luftfartstilsynet BSL-E | Generated Feb 2026,,,,,
,,,,,
Kommunenavn,Befolkning,Terreng/type,Droneerfaring,Anbefalt kontaktperson,Konstaktinformasjon
Tønsberg,55 000,Urban/Coastal,Begrenset,Kommunedirektør Cecilie Teigen Løken,
Bodø,53 000,Urban/Coastal,High - Bodø is Norway's designated drone city; BVLOS corridor established; medical sample transport tested; European drone capital 2024 candidate,Kommunedirektør Rolf Kåre Jensen,
Larvik,48 000,Urban/Coastal,Begrenset,Kommunedirektør Olaf Erlend Rø,
Indre Østfold,47 000,Rural,Ingen,Kommunedirektør Kjell Ivar Kristiansen,
Arendal,46 000,Urban/Coastal,Begrenset,Kommunedirektør Morten Daler,
Lørenskog,44 000,Urban/Suburban,Begrenset,Kommunedirektør Ragna Bogen Hetland,
Karmøy,43 000,Coastal/Urban,Begrenset,Kommunedirektør Arnt Inge Viste,
Ullensaker,40 000,Rural/Aviation hub,"High - Proximity to Gardermoen, tested drone logistics",Ordfører Tom Staahle,
Haugesund,37 000,Urban/Coastal,Begrenset,Kommunedirektør Håvard Moe,
Ringsaker,36 000,Rural,Ingen,Ordfører Anita Ihle Steen,
Øygarden,36 000,Coastal/Island/Offshore,"Active - offshore energy proximity, island logistics pilot interest",Kommunedirektør Rolf Anders Rosenlund,
Porsgrunn,35 000,Urban/Industrial,Begrenset - industrial inspection interest,Kommunedirektør Thor Edvardsen,
Ringerike,33 000,Rural/Forest,Ingen,Ordfører Kjell Botten Johansen,
Moss,33 000,Urban/Coastal,Begrenset,Kommunedirektør Bente Rist,
Halden,32 000,Urban/Coastal,Begrenset,Kommunedirektør Gudrun Haabeth Grindaker,
Hamar,32 000,Urban/Rural,Begrenset - some inspection use,Kommunedirektør Erik Swensen,
Molde,32 000,Urban/Coastal/Fjord,Begrenset - bridge/tunnel inspection interest,Kommunedirektør Arne Sverre Dahl,
Gjøvik,30 000,Urban/Rural,Begrenset,Kommunedirektør Rune Lund,
Horten,30 000,Urban/Coastal,"Begrenset - Naval base proximity, some interest in security drone use",Kommunedirektør Elise Engsmyr,
Askøy,30 000,Coastal/Island,Begrenset,Kommunedirektør Eystein Venneslan,
Lillehammer,29 000,Urban/Mountain,Begrenset,Kommunedirektør Tord Buer Olsen,
Lier,28 000,Suburban/Rural,Ingen,Ordfører Gunn Cecilie Ringdal,
Eidsvoll,27 000,Rural,Ingen,Ordfører Nils Henning Hontvedt,
Sola,27 000,Urban/Coastal/Airport,"High - proximity to Stavanger airport, active testing zone",Kommunedirektør Anne Berit Berge Ims,
Rana,27 000,Urban/Industrial,Begrenset - mining/industry inspection interest,Kommunedirektør Robert Pettersen,
Nedre Eiker,26 000,Urban/Suburban,Ingen,Ordfører Frode Fjeldheim,
Harstad,25 000,Urban/Coastal,Begrenset,Kommunedirektør Trond Svendsen,
Nittedal,24 000,Rural/Suburban,Ingen,Ordfører Hilde Thorkildsen,
Lindesnes,24 000,Coastal/Rural,Ingen,Ordfører Vidar Skarpeid,
Fjell,24 000,Coastal/Island,Ingen,Ordfører Marianne Sandahl Bjorøy,
Kristiansund,24 000,Coastal/Urban,Begrenset,Kommunedirektør Arne Ingebrigtsen,
Stjørdal,24 000,Urban/Rural/Airport,"Active - Proximity to Trondheim Airport Værnes, drone testing zone",Kommunedirektør Ola Stene,
Nes (Akershus),23 000,Rural/Forest,Ingen,Ordfører Hallvard Ytterbø,
Holmestrand,23 000,Urban/Coastal,Ingen,Kommunedirektør Solfrid Borge,
Grimstad,23 000,Urban/Coastal,Ingen,Ordfører Beate Skretting,
Os (Vestland),22 000,Coastal/Suburban,Ingen,Kommunedirektør Per Hilmar Fjelltun,
Orkland,22 000,Rural/Coastal,Ingen,Kommunedirektør Anders Aasheim,
Steinkjer,22 000,Urban/Rural,Begrenset - infrastructure monitoring interest,Jonas Sjømæling,jonas.sjomaeling@steinkjer.kommune.no
Narvik,22 000,Urban/Coastal/Industrial,"Active - infrastructure (Ofotbanen railway) inspection, SAR support",Kommunedirektør Rune Eilertsen,
Alta,22 000,Urban/Rural/Arctic,Active - Arctic drone testing; Avinor collaboration; infrastructure monitoring,Kommunedirektør Bjørn-Atle Hansen,
Hedmarken (Elverum),21 000,Urban/Forest,Ingen,Kommunedirektør Solveig Nymoen,
Nøtterøy,21 000,Coastal/Island,Ingen,Ordfører Morten Wraa-Hansen,
Øvre Eiker,20 000,Rural/Suburban,Ingen,Ordfører Hanne Lisa Matt,
Stange,20 000,Rural,Ingen,Ordfører Nils Arne Jørgensen,
Alver,20 000,Coastal/Rural,Ingen,Kommunedirektør Vidar Roseth,
Levanger,20 000,Urban/Rural,Ingen,Kommunedirektør Ola Stene,
Klepp,19 000,Rural,Ingen,Ordfører Ane Mari Braut Nese,
Time,19 000,Rural,Ingen,Ordfører Reinert Kverneland,
Hå,19 000,Coastal/Rural,Ingen,Ordfører Jonas Skrettingland,
Stord,18 000,Coastal/Industrial,Begrenset - industrial inspection interest,Kommunedirektør Sonja Midtbø,
Melhus,18 000,Rural,Ingen,Ordfører Gunnar Krogstad,
Aurskog-Høland,17 000,Rural/Forest,Ingen,Ordfører Roger Nyhus,
Rygge,17 000,Rural/Coastal,Ingen,Ordfører Tomas Colin Archer,
Kongsvinger,17 000,Urban/Rural,Ingen,Kommunedirektør Karin Nagell,
Askim,16 000,Urban/Rural,Ingen,Ordfører Martin Eike,
Mandal,16 000,Coastal/Urban,Ingen,Ordfører Alf Erik Andersen,
Lindås,16 000,Coastal/Rural,Ingen,Ordfører Astrid Aarhus Byrknes,
Nannestad,15 000,Rural/Forest,Ingen,Ordfører Nils Olav Larsen,
Østre Toten,15 000,Rural,Ingen,Ordfører Christian Granli,
Eigersund,15 000,Coastal/Urban,Ingen,Kommunedirektør Stian Tidemann Joø,
Voss,15 000,Mountain/Fjord,Ingen,Kommunedirektør Ragnhild Bjørge,
Senja,15 000,Coastal/Island/Mountain,Begrenset - island logistics interest,Kommunedirektør Per-Gunnar Skotåm,
Bamble,14 000,Rural/Coastal,Ingen,Ordfører Hallvard Kjeldal,
Vennesla,14 000,Urban/Rural,Ingen,Ordfører Tobias Oftedal,
Malvik,14 000,Urban/Suburban,Ingen,Ordfører Ingrid Aune,
Modum,13 000,Rural/Forest,Ingen,Ordfører Kristin Ravnanger,
Vestre Toten,13 000,Rural,Ingen,Ordfører Kristin Landsem,
Stokke,13 000,Rural,Ingen,Ordfører Erlend Larsen,
Notodden,13 000,Urban/Rural,Ingen,Ordfører Gry Fuglestveit,
Strand,13 000,Rural/Coastal,Ingen,Ordfører Irene Heng Lauvsnes,
Namsos,13 000,Coastal/Urban,Begrenset,Kommunedirektør Gro Herheim,
Vefsn,13 000,Urban/Rural,Ingen,Kommunedirektør Jann-Arne Løvdahl,
Eidsberg,12 000,Rural,Ingen,Ordfører Erik Unaas,
Lillesand,12 000,Coastal/Rural,Ingen,Ordfører Arne Thomassen,
Søgne,12 000,Coastal/Rural,Ingen,Ordfører Astrid Hilde,
Gjesdal,12 000,Rural/Mountain,Ingen,Ordfører Frode Fjeldheim,
Bømlo,12 000,Coastal/Island,Ingen,Ordfører Sammy Olsen,
Lenvik,12 000,Coastal/Rural,Ingen,Kommunedirektør Steffen Rattleff,
Enebakk,11 000,Rural/Forest,Ingen,Ordfører Christian Granli,
Færder,11 000,Coastal/Island,Ingen,Ordfører Jon Sanness Andersen,
Kragerø,11 000,Coastal,Ingen,Ordfører Mette Gravdahl,
Midt-Telemark,11 000,Rural/Forest,Ingen,Ordfører Gry Fuglestveit,
Randaberg,11 000,Coastal/Suburban,Ingen,Ordfører Kristine Enger,
Tysvær,11 000,Coastal/Rural,Ingen,Ordfører Sigurd Eikje,
Ørsta,11 000,Fjord/Mountain,Ingen,Ordfører Stein Lundestad,
Vestvågøy,11 000,Coastal/Island,Begrenset - island logistics interest,Kommunedirektør Grete Ellingsen,
Hammerfest,11 000,Urban/Coastal/Arctic,Active - LNG/energy infrastructure inspection interest; Equinor proximity,Kommunedirektør Oddvar Seen,
Lunner,10 000,Rural/Forest,Ingen,Ordfører Harald Tyrdal,
Re,10 000,Rural,Ingen,Ordfører Thorvald Hillestad,
Farsund,10 000,Coastal,Ingen,Ordfører Arnt Abrahamsen,
Fræna,10 000,Coastal/Rural,Ingen,Ordfører Helge Orten,
Ørland,10 000,Coastal/Military,"Active - Ørland Luftbase proximity, military drone coordination relevant",Ordfører Tom Myrvold,
Fauske,10 000,Urban/Rural,Ingen,Ordfører Ida Maria Pinnerød,
Sortland,10 000,Coastal/Urban,Ingen,Ordfører Tove Mette Bjørkmo,
Vågan,10 000,Coastal/Island,Ingen,Kommunedirektør Raymond Robertsen,
Kirkenes (Sør-Varanger),10 000,Urban/Border/Arctic,Begrenset - border surveillance drone interest,Kommunedirektør Rune Rafaelsen,
Ullensvang,9 800,Fjord/Mountain,Ingen,Ordfører Roald Aga Haug,
Sogndal,9 500,Fjord/Urban,Ingen,Kommunedirektør Lars Ole Gine,
Sula,9 500,Coastal/Island,Ingen,Ordfører Wenche Waagen,
Skaun,9 500,Rural/Suburban,Ingen,Ordfører Hilde Bøkestad,
Volda,9 300,Fjord/Rural,Ingen,Ordfører Sølvi Dimmen,
Flekkefjord,9 000,Coastal/Urban,Ingen,Ordfører Monika Olsen,
Meland,9 000,Coastal/Rural,Ingen,Ordfører Helge Dyrkolbotn,
Haram,9 000,Coastal/Island,Ingen,Ordfører Vebjørn Krogsæter,
Vindafjord,8 700,Rural/Coastal,Ingen,Ordfører Hilde Enstad,
Herøy (Møre),8 700,Coastal/Island,Ingen,Ordfører Arnulf Goksøyr,
Ulstein,8 600,Coastal/Maritime,Begrenset - maritime industry drone interest,Ordfører Einar Gjerde,
Østfold (Råde),8 500,Rural/Coastal,Ingen,Ordfører Kristian Lyse,
Råde,8 500,Rural/Coastal,Ingen,Ordfører Kristian Lyse,
Kvam,8 500,Fjord/Rural,Ingen,Kommunedirektør Arild Steine,
Giske,8 500,Coastal/Island,Ingen,Ordfører Harry Valderhaug,
Heim,8 500,Coastal/Rural,Ingen,Ordfører Odd Jarle Svanem,
Rakkestad,8 000,Rural,Ingen,Ordfører Ellen Solbrække,
Løten,8 000,Rural/Forest,Ingen,Ordfører Kjersti Hoff Nyhus,
Sør-Odal,8 000,Rural/Forest,Ingen,Ordfører Jørund Hassel,
Osterøy,8 000,Rural/Fjord,Ingen,Ordfører Kari Foseid Moe,
Brønnøy,7 900,Coastal/Urban,Ingen,Ordfører Ida Pinnerød,
Hadsel,7 900,Coastal/Island,Ingen,Ordfører Siv Dagny Aas,
Sykkylven,7 700,Fjord/Industrial,Ingen,Ordfører Lars Joar Formo,
Hole,7 500,Rural/Coastal-lake,Ingen,Ordfører Kjell Botten,
Åsnes,7 500,Rural/Forest,Ingen,Ordfører Kari Heggelund,
Songdalen,7 500,Rural,Ingen,Ordfører Johnny Greibesland,
Rauma,7 500,Fjord/Mountain/Tourism,Ingen,Ordfører Lars Olav Hustad,
Alstahaug,7 500,Coastal/Rural,Begrenset - medical drone transport Sandnessjøen interest,Ordfører Bård Anders Langø,
Oppdal,7 300,Mountain/Rural,Ingen,Ordfører Per Inge Hjertaas,
Sunndalsøra (Sunndal),7 200,Fjord/Industrial,Ingen,Ordfører Jon Anders Langseth,
Rissa,7 100,Coastal/Rural,Ingen,Ordfører Bjørn Stuedal,
Gjerdrum,7 000,Rural,Begrenset - post-landslide monitoring interest,Ordfører Anders Østensen,
Jevnaker,7 000,Rural,Ingen,Ordfører Siv Helene Stangeland Rønning,
Risør,7 000,Coastal,Ingen,Ordfører Per Kristian Lunden,
Sund,7 000,Coastal/Island,Ingen,Ordfører Kari-Anne Rødland,
Klæbu,7 000,Rural/Suburban,Ingen,Ordfører Kirsti Tømmervold,
Nordre Land,6 800,Rural/Forest,Ingen,Ordfører Inga Balstad,
Inderøy,6 800,Rural/Coastal,Ingen,Ordfører Per Inge Hjertaas,
Trysil,6 700,Rural/Forest/Mountain,Ingen,Ordfører Erik Roll,
Vestnes,6 700,Coastal/Fjord,Ingen,Ordfører Geir Inge Lunde,
Nome,6 500,Rural,Ingen,Ordfører Sindre Abrahamsen,
Meløy,6 500,Coastal/Industrial,Ingen,Ordfører Jarle Edvardsen,
Målselv,6 500,Rural/Military,"Begrenset - military base Bardufoss, some coordination",Ordfører Bengt-Morten Johannessen,
Nord-Aurdal,6 400,Rural/Mountain,Ingen,Ordfører Thomas Winge Longva,
Midtre Gauldal,6 400,Rural/Forest,Ingen,Ordfører Tor Snøan,
Gausdal,6 300,Rural/Forest/Mountain,Ingen,Ordfører Sissel Hofstad,
Tvedestrand,6 300,Coastal,Ingen,Ordfører Marianne Nøst,
Spydeberg,6 000,Rural,Ingen,Ordfører Knut Espeland,
Froland,6 000,Rural/Forest,Ingen,Ordfører Ingunn Lauvrak,
Kvinesdal,6 000,Rural/Mountain,Ingen,Ordfører Per Sverre Kvinlaug,
Søndre Land,5 900,Rural/Forest,Ingen,Ordfører Gerd Eli Berget,
Averøy,5 900,Coastal/Island,Ingen,Ordfører Stig Johansen,
Surnadal,5 900,Rural/Mountain,Ingen,Ordfører Margrethe Svinvik,
Sel,5 800,Rural/Mountain,Ingen,Ordfører Dag Erik Pryhn,
Tinn,5 700,Rural/Mountain,Ingen,Ordfører Bjørn Brauteset,
Birkenes,5 700,Rural/Forest,Ingen,Ordfører Arild Windsland,
Vadsø,5 700,Urban/Coastal/Arctic,"Begrenset - county capital, some government drone interest",Kommunedirektør Lars Evjenth,
Balsfjord,5 600,Rural/Mountain,Ingen,Ordfører Bjørn-Gunnar Fikke,
Trøgstad,5 500,Rural,Ingen,Ordfører Anne Lise Stranden,
Hobøl,5 500,Rural,Ingen,Ordfører Per Egil Evensen,
Eidskog,5 500,Rural/Forest,Ingen,Ordfører Stein Tronsmoen,
Nord-Odal,5 500,Rural/Forest,Ingen,Ordfører Lise Selnes,
Tynset,5 500,Rural/Mountain,Ingen,Ordfører Merete Myhre Moen,
Årdal,5 500,Fjord/Industrial,Ingen,Ordfører Arild Ingar Lægreid,
Austevoll,5 500,Coastal/Island/Fisheries,Ingen,Ordfører Morten Storebø,
Øyer,5 300,Rural/Mountain,Ingen,Ordfører Tom Westgaard,
Frøya,5 300,Coastal/Island/Aquaculture,Ingen,Ordfører Kristin Strømskag,
Hareid,5 200,Coastal,Ingen,Ordfører Anders Hamre,
Nærøy,5 200,Coastal/Rural,Ingen,Ordfører Steinar Lyngstad,
Luster,5 100,Fjord/Mountain,Ingen,Ordfører Ivar Kvalen,
Ål,5 000,Rural/Mountain,Ingen,Ordfører Grethe Stavdal,
Våler (Østfold),5 000,Rural/Forest,Ingen,Ordfører Hans Kristian Raade,
Grue,5 000,Rural/Forest,Ingen,Ordfører Per Gunnar Sveen,
Tjøme,5 000,Coastal/Island,Ingen,Ordfører Morten Wraa-Hansen,
Rennesøy,5 000,Coastal/Island,Ingen,Ordfører Gunn Sissel Larsen,
Radøy,5 000,Coastal/Island,Ingen,Ordfører Jon Askeland,
Skodje,5 000,Coastal/Rural,Ingen,Ordfører Dag Olav Tennfjord,
Nordreisa,5 000,Coastal/Rural,Ingen,Ordfører Hanne Huseby,
Vikna,4 900,Coastal/Island,Ingen,Ordfører Amund Hellesø,
Hitra,4 800,Coastal/Island/Aquaculture,Ingen,Ordfører Ole Haugen,
Andøy,4 800,Coastal/Rural/Military,Active - Andøya Space used for drone/UAV testing; space & drone proximity,Ordfører Jonni Solsvik,
Ringebu,4 700,Rural/Mountain,"3 x dronepiloter, egne droner. Flyr aktivt for inspesjoner",Ordfører Kari Hagerup,
Bjugn,4 700,Coastal/Rural,Ingen,Ordfører Ogne Undertun,
Saltdal,4 700,Rural/Mountain,Ingen,Ordfører Svein Dragøy Haraldsen,
Sauda,4 600,Rural/Mountain,Ingen,Ordfører Gunnar Rettedal,
Stranda,4 600,Fjord/Mountain,Ingen,Ordfører Jan Ove Tryggestad,
Hemnes,4 600,Rural/Forest/Mountain,Ingen,Ordfører Bjørn Sæfring,
Øksnes,4 600,Coastal/Island,Ingen,Ordfører Karianne Bråthen,
Gol,4 500,Rural/Mountain,Ingen,Ordfører Morten Andreas Berge,
Hol,4 500,Rural/Mountain,Ingen,Ordfører Stig Rune Kroken,
Hvaler,4 500,Coastal/Island,Ingen,Ordfører Eivind Norman Borge,
Sauherad,4 500,Rural,Ingen,Ordfører Siri Blichfeldt Dyrland,
Åmot,4 300,Rural/Forest,Ingen,Ordfører Wenche Aaser Groven,
Evje og Hornnes,4 300,Rural/Mountain,Ingen,Ordfører Bjørn Ropstad,
Selbu,4 300,Rural/Forest,Ingen,Ordfører Ingrid Rolseth Strand,
Etne,4 200,Rural/Coastal,Ingen,Ordfører Ola Røen,
Vaksdal,4 200,Fjord/Mountain,Ingen,Ordfører Magnhild Stave,
Skiptvet,4 000,Rural,Ingen,Ordfører Svein Olav Agnalt,
Drangedal,4 000,Rural/Forest,Ingen,Ordfører Tor Petter Ekroll,
Høyanger,4 000,Fjord/Industrial,Ingen,Ordfører Petter Sortland,
Porsanger,4 000,Rural/Coastal/Arctic,Ingen,Ordfører Elisabeth Hætta,
Suldal,3 900,Rural/Mountain,Ingen,Ordfører Gerd Helen Bø,
Overhalla,3 900,Rural,Ingen,Ordfører Even Aleksander Hagen,
Fusa,3 800,Coastal/Fjord,Ingen,Ordfører Mons Otterå,
Bardu,3 800,Rural/Military,Ingen,Ordfører Toralf Heimdal,
Vågå,3 700,Rural/Mountain,Ingen,Ordfører Isak V. Hoel,
Vinje,3 600,Rural/Mountain,Ingen,Ordfører Jon Rikard Kleven,
Leksvik,3 600,Rural/Coastal,Ingen,Ordfører Inge Morten Elde,
Sigdal,3 500,Rural/Forest,Ingen,Ordfører Geir Jørgensen,
Nesbyen,3 500,Rural/Forest,Ingen,Ordfører Per Gunnar Løken,
Marker,3 500,Rural/Forest,Ingen,Ordfører Ingunn Trosholmen,
Lund,3 500,Rural/Forest,Ingen,Ordfører Magnhild Eia,
Aure,3 500,Coastal/Rural,Ingen,Ordfører Eli Rygg,
Øystre Slidre,3 400,Rural/Mountain,Ingen,Ordfører Åge Marthinsen,
Finnøy,3 400,Coastal/Island,Ingen,Ordfører Tore Rannekleiv,
Eide,3 400,Coastal/Rural,Ingen,Ordfører Per Øyvind Tømmervold,
Aukra,3 400,Coastal/Island,Ingen,Ordfører Møyfrid Ellingsdalen,
Sokndal,3 300,Rural/Coastal,Ingen,Ordfører Ell Marion Sandanger,
Bjerkreim,3 200,Rural,Ingen,Ordfører Aslak Tvedten,
Hjelmeland,3 200,Rural/Coastal/Mountain,Ingen,Ordfører Jostein Ljones,
Fitjar,3 200,Coastal/Island,Ingen,Ordfører Wenche Tislevoll,
Åfjord,3 200,Coastal/Rural,Ingen,Ordfører Vibeke Stjern,
Nordkapp,3 200,Coastal/Arctic/Tourism,Ingen,Ordfører Kristina Hansen,
Sør-Aurdal,3 100,Rural/Mountain,Ingen,Ordfører Ragnhild Kambestad,
Nesset,3 100,Fjord/Rural,Ingen,Ordfører Rolf Jonas Hurlen,
Tingvoll,3 100,Rural/Coastal,Ingen,Ordfører Milly Bente Nørsett,
Berg,3 100,Coastal/Island,Ingen,Ordfører Linn Jensen,
Hurdal,3 000,Rural/Forest,Ingen,Ordfører Espen Aas,
Seljord,3 000,Rural/Mountain,Ingen,Ordfører Berit Hødnebø,
Austrheim,3 000,Coastal/Island,Ingen,Ordfører Per Lerøy,
Skånland,3 000,Rural/Coastal,Ingen,Ordfører Torbjørn Larsen,
Skjervøy,3 000,Coastal/Rural,Ingen,Ordfører Torgeir Johnsen,
Lyngen,3 000,Fjord/Mountain,Ingen,Ordfører Dan Håvard Johnsen,
Kautokeino,3 000,Rural/Mountain/Arctic/Sámi,Ingen,Ordfører Hans Ole Sara,
Kvæfjord,2 900,Coastal/Rural,Ingen,Ordfører Ronald Wærnes,
Tana,2 900,Rural/Arctic,Ingen,Ordfører Frank Martin Ingilæ,
Dovre,2 800,Rural/Mountain,Ingen,Ordfører Bengt Fasteraune,
Vik,2 800,Fjord/Rural,Ingen,Ordfører Tor Inge Fjetland,
Tysnes,2 800,Coastal/Island,Ingen,Ordfører Morten Løvereide,
Karasjok,2 800,Rural/Forest/Arctic/Sámi,Ingen,Ordfører Svein Atle Somby,
Stor-Elvdal,2 700,Rural/Forest/Mountain,Ingen,Ordfører Kari Heggelund,
Gjemnes,2 700,Rural/Coastal,Ingen,Ordfører Knut Sjømæling,
Frosta,2 700,Rural/Coastal,Ingen,Ordfører Inger Aune Rygg,
Gjerstad,2 600,Rural/Forest,Ingen,Ordfører Alf Erik Andersen,
Samnanger,2 600,Fjord/Rural,Ingen,Ordfører Kari-Anne Rødland,
Sande (Møre og Romsdal),2 600,Coastal/Island,Ingen,Ordfører Dag Vaagen,
Rennebu,2 600,Rural/Mountain,Ingen,Ordfører Ola T. Lånke,
Steigen,2 600,Coastal/Rural,Ingen,Ordfører Hilde Sørby,
Flesberg,2 500,Rural/Forest,Ingen,Ordfører Oddvar Garaas,
Hemsedal,2 500,Mountain/Tourism,Ingen,Ordfører Pål Rørby,
Lardal,2 500,Rural,Ingen,Ordfører Einar Enger,
Kviteseid,2 500,Rural/Forest,Ingen,Ordfører Aslaug Steine Eggesbø,
Meråker,2 500,Rural/Mountain,Ingen,Ordfører Anne-Brit Brendbekken,
Grong,2 500,Rural/Forest,Ingen,Ordfører Lill Harriet Sandbakk,
Ballangen,2 500,Rural/Mountain,Ingen,Ordfører Lars Evjenth,
Bø (Nordland),2 500,Coastal/Island,Ingen,Ordfører Rolf Espenes,
Nore og Uvdal,2 400,Rural/Mountain,Ingen,Ordfører Eli Hovd Prestegarden,
Alvdal,2 400,Rural/Mountain,Ingen,Ordfører Svein Borkhus,
Lom,2 400,Rural/Mountain,Ingen,Ordfører Aud Sunniva Furuseth,
Siljan,2 400,Rural/Forest,Ingen,Ordfører Jan Homme,
Marnardal,2 400,Rural,Ingen,Ordfører Helge Sandåker,
Gulen,2 400,Coastal/Fjord,Ingen,Ordfører Hallvard Oppedal,
Skjåk,2 300,Rural/Mountain,Ingen,Ordfører Magnhild Dahle,
Vestre Slidre,2 300,Rural/Mountain,Ingen,Ordfører Trine Thoresen,
Leikanger,2 300,Fjord/Rural,Ingen,Ordfører Jon Olav Lofthus,
Krødsherad,2 200,Rural/Forest,Ingen,Ordfører Rune Askeland,
Lesja,2 200,Rural/Mountain,Ingen,Ordfører Kari Huseby,
Tokke,2 200,Rural/Mountain,Ingen,Ordfører Hovard Bøe,
Lærdal,2 200,Fjord/Rural,Ingen,Ordfører Jan Geir Solheim,
Ørskog,2 200,Rural/Fjord,Ingen,Ordfører Stein Visted,
Smøla,2 200,Coastal/Island,"Active - Smøla kommune drone pilot for landbruk, environment ",Ordfører Knut Rønning,
Snåsa,2 200,Rural/Forest,Ingen,Ordfører Vigdis Hjulstad Belbo,
Leirfjord,2 200,Coastal/Rural,Ingen,Ordfører Ivan Haugland,
Hamarøy,2 200,Coastal/Mountain,Ingen,Ordfører Britt Kristoffersen,
Lødingen,2 200,Coastal/Fjord,Ingen,Ordfører Lars Emil Lund,
Salangen,2 200,Coastal/Rural,Ingen,Ordfører Knut Roger Hanssen,
Kåfjord,2 200,Fjord/Mountain,Ingen,Ordfører Lydia Waagen,
Karlsøy,2 200,Coastal/Island,Ingen,Ordfører Hans-Gunnar Hanssen,
Båtsfjord,2 200,Coastal/Fisheries/Arctic,Ingen,Ordfører Geir Knutsen,
Midsund,2 100,Coastal/Island,Ingen,Ordfører Jon Aasen,
Rindal,2 100,Rural/Forest,Ingen,Ordfører Torbjørn Skogli,
Sørfold,2 100,Rural/Fjord/Mountain,Ingen,Ordfører Vera Kastensen,
Os (Innlandet),2 000,Rural/Mountain,Ingen,Ordfører Knut Espen Solberg,
Åmli,2 000,Rural/Forest,Ingen,Ordfører Reidar Saga,
Vegårshei,2 000,Rural/Forest,Ingen,Ordfører Jorn Stave,
Gildeskål,2 000,Coastal/Island,Ingen,Ordfører Susanne Andreassen,
Lurøy,2 000,Coastal/Island,Ingen,Ordfører Carl Gustav Sporaland,
Sømna,2 000,Coastal/Rural,Ingen,Ordfører Knut Petter Torgersen,
Tysfjord,2 000,Fjord/Mountain,Ingen,Ordfører Tor Asle Ågedal,
Vardø,2 000,Coastal/Island/Arctic,Ingen,Ordfører Robert Henriksen,
Rendalen,1 900,Rural/Forest/Mountain,Ingen,Ordfører Hege Helene Sørmo,
Storfjord,1 900,Mountain/Rural,Ingen,Ordfører Sigmund Steinnes,
Sirdal,1 800,Rural/Mountain,Ingen,Ordfører Jonny Liland,
Aurland,1 800,Fjord/Mountain/Tourism,Ingen,Ordfører Noralv Distad,
Norddal,1 800,Fjord/Mountain,Ingen,Ordfører Odd Iver Øverdal,
Agdenes,1 800,Coastal/Rural,Ingen,Ordfører Oddvar Indergård,
Herøy (Nordland),1 800,Coastal/Island,Ingen,Ordfører Arnt Frode Jensen,
Nesna,1 800,Coastal/Rural,Ingen,Ordfører Hanne Nora Nilssen,
